X,delta
26.04594296,0
28.68165618,0
29.46741265,0
27.17053909,1
27.67596461,0
32.41743201,0
1.8380043,1
24.90343039,0
30.5714625,0
33.33253724,0
36,0
21.18070769,1
4.290886667,1
27.46683035,0
36,0
34.53500678,0
15.23711838,1
34.29467134,0
16.6078966,1
36,0
24.1084774,0
4.216781108,1
32.98126543,0
35.55122989,0
8.393652355,1
36,0
27.17950658,1
19.73102555,1
36,0
36,0
27.2202055,1
31.12025972,0
22.0307093,1
21.92085463,1
4.312868809,1
26.8038007,0
36,0
24.99224499,0
3.393639723,1
36,0
9.69255136,1
27.95745159,0
36,0
34.16695752,0
36,0
36,0
22.14055323,1
33.38363643,0
24.41181054,0
27.40037295,0
25.30554151,0
25.53260746,1
1.30843794,1
36,0
0.033479809,1
12.22631925,1
29.72755411,0
30.72782944,0
16.63275653,1
36,0
7.272770235,1
24.21265778,1
36,0
31.78941606,0
1.486821567,1
34.13712285,0
2.457148965,1
11.58180149,1
27.81714762,0
31.09001229,0
6.177935476,1
27.48169922,0
28.76344962,1
35.9773644,0
36,0
36,0
26.60096888,0
6.623652665,1
1.916161795,1
29.15089252,1
36,0
25.75129264,0
29.79839574,0
36,0
27.36167511,0
26.46626885,1
21.14942562,1
2.938804829,1
36,0
32.55759153,0
11.83806014,1
11.2956681,1
35.97627913,0
3.720373322,1
26.84363978,0
34.77370683,0
33.40967216,0
34.04396822,0
34.88353729,0
31.84413676,0
